Source,Target,Weight,Cluster_Source,Cluster_Target
I1L,I5,1,Sensory core,Sensory core
I1L,M1,1,Sensory core,Sensory core
I1L,MI,1,Sensory core,Periphery
I1R,I5,1,Sensory core,Sensory core
I1R,M1,1,Sensory core,Sensory core
I1R,MI,1,Sensory core,Periphery
I2L,M1,1,Periphery,Sensory core
I2R,M1,1,Periphery,Sensory core
I3,I1L,2,Sensory core,Sensory core
I3,I1R,2,Sensory core,Sensory core
I3,I3,1,Sensory core,Sensory core
I3,I4,1,Sensory core,Sensory core
I3,I5,3,Sensory core,Sensory core
I3,M1,3,Sensory core,Sensory core
I3,M2L,1,Sensory core,Periphery
I3,M2R,1,Sensory core,Periphery
I3,M3L,1,Sensory core,Periphery
I3,M3R,1,Sensory core,Periphery
I3,M5,1,Sensory core,Sensory core
I3,MCL,1,Sensory core,Periphery
I3,MCR,1,Sensory core,Periphery
I4,I1L,5,Sensory core,Sensory core
I4,I1R,5,Sensory core,Sensory core
I4,I3,2,Sensory core,Sensory core
I4,I4,2,Sensory core,Sensory core
I4,I5,3,Sensory core,Sensory core
I4,M1,3,Sensory core,Sensory core
I4,M2L,1,Sensory core,Periphery
I4,M2R,1,Sensory core,Periphery
I4,M3L,1,Sensory core,Periphery
I4,M3R,1,Sensory core,Periphery
I4,M5,2,Sensory core,Sensory core
I4,MCL,1,Sensory core,Periphery
I4,MCR,1,Sensory core,Periphery
I4,RIPL,1,Sensory core,Periphery
I4,RIPR,1,Sensory core,Periphery
I5,I1L,5,Sensory core,Sensory core
I5,I1R,5,Sensory core,Sensory core
I5,I3,2,Sensory core,Sensory core
I5,I4,2,Sensory core,Sensory core
I5,I5,3,Sensory core,Sensory core
I5,M1,2,Sensory core,Sensory core
I5,M3L,1,Sensory core,Periphery
I5,M3R,1,Sensory core,Periphery
I5,M5,2,Sensory core,Sensory core
I6,I1L,6,Periphery,Sensory core
I6,I1R,6,Periphery,Sensory core
I6,I2L,1,Periphery,Periphery
I6,I2R,1,Periphery,Periphery
I6,I3,2,Periphery,Sensory core
I6,I4,2,Periphery,Sensory core
I6,I5,2,Periphery,Sensory core
I6,M1,2,Periphery,Sensory core
I6,M5,2,Periphery,Sensory core
M1,I1L,3,Sensory core,Sensory core
M1,I1R,3,Sensory core,Sensory core
M1,I2L,1,Sensory core,Periphery
M1,I2R,1,Sensory core,Periphery
M1,I3,1,Sensory core,Sensory core
M1,I4,1,Sensory core,Sensory core
M1,I5,1,Sensory core,Sensory core
M1,M1,1,Sensory core,Sensory core
M1,M5,1,Sensory core,Sensory core
M1,RIPL,1,Sensory core,Periphery
M1,RIPR,1,Sensory core,Periphery
M2L,I1L,4,Periphery,Sensory core
M2L,I1R,4,Periphery,Sensory core
M2L,I2L,1,Periphery,Periphery
M2L,I2R,1,Periphery,Periphery
M2L,I3,1,Periphery,Sensory core
M2L,I4,1,Periphery,Sensory core
M2L,I5,2,Periphery,Sensory core
M2L,M1,1,Periphery,Sensory core
M2L,M5,1,Periphery,Sensory core
M2L,MI,1,Periphery,Periphery
M2L,RIPL,1,Periphery,Periphery
M2L,RIPR,1,Periphery,Periphery
M2R,I1L,4,Periphery,Sensory core
M2R,I1R,4,Periphery,Sensory core
M2R,I2L,1,Periphery,Periphery
M2R,I2R,1,Periphery,Periphery
M2R,I3,1,Periphery,Sensory core
M2R,I4,1,Periphery,Sensory core
M2R,I5,2,Periphery,Sensory core
M2R,M1,1,Periphery,Sensory core
M2R,M5,1,Periphery,Sensory core
M2R,MI,1,Periphery,Periphery
M2R,RIPL,1,Periphery,Periphery
M2R,RIPR,1,Periphery,Periphery
M3L,I1L,5,Periphery,Sensory core
M3L,I1R,5,Periphery,Sensory core
M3L,I3,2,Periphery,Sensory core
M3L,I4,2,Periphery,Sensory core
M3L,I5,2,Periphery,Sensory core
M3L,M1,2,Periphery,Sensory core
M3L,M5,2,Periphery,Sensory core
M3R,I1L,5,Periphery,Sensory core
M3R,I1R,5,Periphery,Sensory core
M3R,I3,2,Periphery,Sensory core
M3R,I4,2,Periphery,Sensory core
M3R,I5,2,Periphery,Sensory core
M3R,M1,2,Periphery,Sensory core
M3R,M5,2,Periphery,Sensory core
M4,I1L,6,Periphery,Sensory core
M4,I1R,6,Periphery,Sensory core
M4,I3,3,Periphery,Sensory core
M4,I4,3,Periphery,Sensory core
M4,I5,5,Periphery,Sensory core
M4,M1,4,Periphery,Sensory core
M4,M2L,1,Periphery,Periphery
M4,M2R,1,Periphery,Periphery
M4,M3L,1,Periphery,Periphery
M4,M3R,1,Periphery,Periphery
M4,M5,3,Periphery,Sensory core
M4,MCL,1,Periphery,Periphery
M4,MCR,1,Periphery,Periphery
M4,MI,1,Periphery,Periphery
M5,I1L,4,Sensory core,Sensory core
M5,I1R,4,Sensory core,Sensory core
M5,I2L,1,Sensory core,Periphery
M5,I2R,1,Sensory core,Periphery
M5,I3,2,Sensory core,Sensory core
M5,I4,2,Sensory core,Sensory core
